"name"	"taxRank"	"taxID"	"Max"	"C4.16S.txt.cladeReads.."	"lineage"
"Mycoplasmatota><wbr>...><wbr>Spiroplasma penaei"	"S"	313382	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Mycoplasmatota>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Mycoplasmatota><wbr>...><wbr>[Acholeplasma] multilocale"	"S"	264638	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Mycoplasmatota>Mollicutes>Entomoplasmatales>Entomoplasmataceae>Entomoplasma"
"Mycoplasmatota><wbr>...><wbr>Mycoplasmopsis gallinacea"	"S"	29556	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Mycoplasmatota>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasmopsis"
"Cyanobacteriota/Melainabacteria group><wbr>Cyanobacteriota><wbr>Cyanophyceae"	"C"	3028117	0.07867	0.07867	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota"
"Pseudanabaenales><wbr>...><wbr>Tapinothrix clintonii GSE-PSE06-07G"	"-"	890418	0.01967	0.01967	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Pseudanabaenales>Heteroleibleiniaceae>Tapinothrix>Tapinothrix&nbsp;clintonii"
"Nostocales"	"O"	1161	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae"
"Nostocaceae><wbr>Neowollea><wbr>Neowollea manoromense"	"S"	2673094	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Nostocales>Nostocaceae>Neowollea"
"Nostocaceae><wbr>Komarekiella><wbr>Komarekiella gloeocapsoidea"	"S"	2884080	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Nostocales>Nostocaceae>Komarekiella"
"Rivulariaceae><wbr>Phyllonema><wbr>Phyllonema ansata"	"S"	2447830	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Nostocales>Rivulariaceae>Phyllonema"
"Hapalosiphonaceae><wbr>...><wbr>Fischerella muscicola PCC 7414"	"-"	306281	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Nostocales>Hapalosiphonaceae>Fischerella>Fischerella&nbsp;muscicola"
"Oscillatoriophycideae><wbr>...><wbr>Ramsaria avicennae"	"S"	2586171	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Ramsaria"
"Oscillatoriophycideae><wbr>...><wbr>Neolyngbya arenicola"	"S"	2066957	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Oscillatoriophycideae>Oscillatoriales>Sirenicapillariaceae>Neolyngbya"
"Oscillatoriophycideae><wbr>...><wbr>Gloeothece membranacea"	"S"	44473	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Gloeothece"
"Nodosilineales><wbr>...><wbr>Nodosilinea bijugata"	"S"	264745	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Nodosilineales>Nodosilineaceae>Nodosilinea"
"Deinococcota><wbr>...><wbr>Deinococcus"	"G"	1298	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Deinococcota>Deinococci>Deinococcales>Deinococcaceae"
"Pseudomonadota"	"P"	1224	21.85	21.85	"cellular&nbsp;organisms>Bacteria"
"Gammaproteobacteria"	"C"	1236	21.24	21.24	"cellular&nbsp;organisms>Bacteria>Pseudomonadota"
"Enterobacterales"	"O"	91347	19.46	19.46	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria"
"Enterobacteriaceae"	"F"	543	12.85	12.85	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales"
"Shimwellia><wbr>Shimwellia blattae><wbr>Shimwellia blattae DSM 4481 = NBRC 105725"	"-"	630626	2.026	2.026	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shimwellia>Shimwellia&nbsp;blattae"
"Shimwellia><wbr>Shimwellia pseudoproteus"	"S"	570012	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shimwellia"
"Franconibacter><wbr>Franconibacter helveticus"	"S"	357240	0.5277	0.5277	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Franconibacter"
"Franconibacter><wbr>Franconibacter daqui"	"S"	2047724	0.4294	0.4294	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Franconibacter"
"Franconibacter><wbr>Franconibacter pulveris"	"S"	435910	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Franconibacter"
"Citrobacter"	"G"	544	0.7801	0.7801	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Citrobacter koseri"	"S"	545	0.6359	0.6359	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter rodentium"	"S"	67825	0.06884	0.06884	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter freundii complex><wbr>Citrobacter werkmanii"	"S"	67827	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter freundii complex><wbr>Citrobacter freundii"	"S"	546	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"Citrobacter farmeri"	"S"	67824	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Citrobacter bitternis"	"S"	1585982	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Salmonella"	"G"	590	0.7572	0.7572	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Salmonella enterica><wbr>Salmonella enterica subsp. enterica><wbr>Salmonella enterica subsp. enterica serovar Typhimurium"	"-"	90371	0.4261	0.4261	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella>Salmonella&nbsp;enterica>Salmonella&nbsp;enterica&nbsp;subsp.&nbsp;enterica"
"Salmonella enterica><wbr>Salmonella enterica subsp. arizonae"	"-"	59203	0.05572	0.05572	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella>Salmonella&nbsp;enterica"
"Salmonella bongori"	"S"	54736	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"Kluyvera><wbr>Kluyvera ascorbata><wbr>Kluyvera ascorbata ATCC 33433"	"-"	1006000	0.6031	0.6031	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kluyvera>Kluyvera&nbsp;ascorbata"
"Kluyvera><wbr>Kluyvera georgiana"	"S"	73098	0.08523	0.08523	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kluyvera"
"Kluyvera><wbr>Kluyvera cryocrescens"	"S"	580	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kluyvera"
"Kluyvera><wbr>Kluyvera intermedia"	"S"	61648	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kluyvera"
"Pseudocitrobacter><wbr>Pseudocitrobacter faecalis"	"S"	1398493	0.6818	0.6818	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pseudocitrobacter"
"Shigella"	"G"	620	0.4524	0.4524	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Shigella boydii"	"S"	621	0.2426	0.2426	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"Shigella flexneri"	"S"	623	0.1049	0.1049	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"Shigella dysenteriae"	"S"	622	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"Klebsiella/Raoultella group"	"-"	2890311	0.3966	0.3966	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Klebsiella"	"G"	570	0.3835	0.3835	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group"
"Klebsiella variicola"	"S"	244366	0.2163	0.2163	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"Klebsiella pneumoniae"	"S"	573	0.1082	0.1082	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"Klebsiella pneumoniae subsp. ozaenae"	"-"	574	0.06228	0.06228	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella>Klebsiella&nbsp;pneumoniae"
"Klebsiella quasipneumoniae><wbr>Klebsiella quasipneumoniae subsp. similipneumoniae"	"-"	1463164	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella>Klebsiella&nbsp;quasipneumoniae"
"Klebsiella quasivariicola"	"S"	2026240	0.02295	0.02295	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"Raoultella><wbr>Raoultella electrica"	"S"	1259973	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Raoultella"
"Raoultella><wbr>Raoultella planticola><wbr>Raoultella planticola ATCC 33531"	"-"	1005996	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Raoultella>Raoultella&nbsp;planticola"
"Trabulsiella><wbr>Trabulsiella guamensis><wbr>Trabulsiella guamensis ATCC 49490"	"-"	1005994	0.3835	0.3835	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Trabulsiella>Trabulsiella&nbsp;guamensis"
"Trabulsiella><wbr>Trabulsiella odontotermitis"	"S"	379893	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Trabulsiella"
"Cedecea><wbr>Cedecea lapagei"	"S"	158823	0.1508	0.1508	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cedecea"
"Cedecea><wbr>Cedecea colo"	"S"	2552946	0.04589	0.04589	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cedecea"
"Cedecea><wbr>Cedecea neteri"	"S"	158822	0.03606	0.03606	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cedecea"
"Cedecea><wbr>Cedecea davisae><wbr>Cedecea davisae DSM 4568"	"-"	566551	0.02295	0.02295	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cedecea>Cedecea&nbsp;davisae"
"Pseudescherichia><wbr>Pseudescherichia vulneris"	"S"	566	0.2295	0.2295	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pseudescherichia"
"Cronobacter"	"G"	413496	0.2065	0.2065	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Cronobacter muytjensii"	"S"	413501	0.09506	0.09506	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter"
"Cronobacter muytjensii ATCC 51329"	"-"	1159613	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter>Cronobacter&nbsp;muytjensii"
"Cronobacter dublinensis><wbr>Cronobacter dublinensis subsp. lactaridi"	"-"	413499	0.05245	0.05245	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter>Cronobacter&nbsp;dublinensis"
"Cronobacter sakazakii"	"S"	28141	0.03934	0.03934	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter"
"Cronobacter turicensis><wbr>Cronobacter turicensis z3032"	"-"	693216	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter>Cronobacter&nbsp;turicensis"
"Cronobacter malonaticus"	"S"	413503	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Cronobacter"
"Enterobacter"	"G"	547	0.1868	0.1868	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Enterobacter cloacae complex><wbr>Enterobacter asburiae"	"S"	61645	0.08523	0.08523	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter cloacae complex><wbr>Enterobacter kobei"	"S"	208224	0.04261	0.04261	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter cloacae complex><wbr>Enterobacter cloacae"	"S"	550	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter cloacae subsp. dissolvens"	"-"	69219	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex>Enterobacter&nbsp;cloacae"
"Enterobacter cloacae complex><wbr>Enterobacter hormaechei"	"S"	158836	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter mori"	"S"	539813	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter"
"Enterobacter mori LMG 25706"	"-"	980518	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;mori"
"Enterobacter bugandensis"	"S"	881260	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter"
"Kosakonia><wbr>Kosakonia cowanii><wbr>Kosakonia cowanii JCM 10956 = DSM 18146"	"-"	1300165	0.07211	0.07211	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia>Kosakonia&nbsp;cowanii"
"Kosakonia><wbr>Kosakonia arachidis"	"S"	551989	0.05572	0.05572	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia"
"Kosakonia><wbr>Kosakonia oryziphila"	"S"	1005667	0.01967	0.01967	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia"
"Kosakonia><wbr>Kosakonia sacchari"	"S"	1158459	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia"
"Kosakonia><wbr>Kosakonia pseudosacchari"	"S"	1646340	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia"
"Intestinirhabdus><wbr>Intestinirhabdus alba"	"S"	2899544	0.1016	0.1016	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Intestinirhabdus"
"Pluralibacter><wbr>Pluralibacter pyrinus"	"S"	81476	0.09834	0.09834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pluralibacter"
"Phytobacter"	"G"	447792	0.07539	0.07539	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Phytobacter massiliensis><wbr>Phytobacter massiliensis JC163"	"-"	1095768	0.04917	0.04917	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Phytobacter>Phytobacter&nbsp;massiliensis"
"Phytobacter diazotrophicus"	"S"	395631	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Phytobacter"
"Buttiauxella><wbr>Buttiauxella ferragutiae"	"S"	82989	0.03278	0.03278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Buttiauxella"
"Buttiauxella><wbr>Buttiauxella warmboldiae"	"S"	82993	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Buttiauxella"
"Buttiauxella><wbr>Buttiauxella brennerae"	"S"	82988	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Buttiauxella"
"Buttiauxella><wbr>Buttiauxella agrestis><wbr>Buttiauxella agrestis ATCC 33320"	"-"	1006004	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Buttiauxella>Buttiauxella&nbsp;agrestis"
"Escherichia><wbr>Escherichia marmotae"	"S"	1499973	0.05245	0.05245	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Escherichia><wbr>Escherichia fergusonii><wbr>Escherichia fergusonii ATCC 35469"	"-"	585054	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>Escherichia&nbsp;fergusonii"
"Escherichia><wbr>Escherichia coli"	"S"	562	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Lelliottia><wbr>Lelliottia nimipressuralis"	"S"	69220	0.03934	0.03934	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Lelliottia"
"Lelliottia><wbr>Lelliottia amnigena"	"S"	61646	0.01967	0.01967	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Lelliottia"
"Mangrovibacter><wbr>Mangrovibacter yixingensis"	"S"	1529639	0.03278	0.03278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Mangrovibacter"
"Mangrovibacter><wbr>Mangrovibacter phragmitis"	"S"	1691903	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Mangrovibacter"
"Mangrovibacter><wbr>Mangrovibacter plantisponsor"	"S"	451513	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Mangrovibacter"
"Pseudenterobacter><wbr>Pseudenterobacter timonensis"	"S"	1755099	0.04261	0.04261	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Pseudenterobacter"
"Siccibacter><wbr>Siccibacter turicensis"	"S"	357233	0.03606	0.03606	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Siccibacter"
"Plesiomonas><wbr>Plesiomonas shigelloides"	"S"	703	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Plesiomonas"
"Entomohabitans><wbr>Entomohabitans teleogrylli"	"S"	1384589	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Entomohabitans"
"Yersiniaceae><wbr>Rahnella"	"G"	34037	1.583	1.583	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Rahnella inusitata"	"S"	58169	1.567	1.567	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Rahnella"
"Rahnella aceris"	"S"	2703885	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Rahnella"
"Yersiniaceae><wbr>Yersinia"	"G"	629	0.2426	0.2426	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Yersinia canariae"	"S"	2607663	0.2196	0.2196	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia rohdei"	"S"	29485	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersinia ruckeri"	"S"	29486	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Yersiniaceae><wbr>Serratia"	"G"	613	0.1705	0.1705	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Serratia fonticola><wbr>Serratia fonticola DSM 22080"	"-"	649197	0.04261	0.04261	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia>Serratia&nbsp;fonticola"
"Serratia ureilytica"	"S"	300181	0.01967	0.01967	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia microhaemolytica"	"S"	2675110	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia symbiotica"	"S"	138074	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia ficaria"	"S"	61651	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia oryzae"	"S"	2034155	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia plymuthica"	"S"	82996	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Serratia bozhouensis"	"S"	1578585	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Yersiniaceae><wbr>Nissabacter><wbr>Nissabacter archeti"	"S"	1917880	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Nissabacter"
"Erwiniaceae"	"F"	1903409	1.331	1.331	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales"
